range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,r_iw_a_ifo001,q_ai_ifo001,gt_range,bias,pair,del_t1,del_t2,del_t3,del_t4,range_raw,bias_raw,tx1_raw,tx2_raw,tx3_raw,rx1_raw,rx2_raw,rx3_raw,std,timestamp
3.0704581206718333,10,1,27627042444.80515,35536634.04182939,35842981.66217438,27627348814.115658,37381699.610892326,27628887538.09236,-87.3927001953125,-87.01239776611328,-3.9133999347686768,4.421899795532227,[ 0.76998296 -1.39042705  0.89644777],[-0.07437109  0.00337986  0.99506486 -0.0655975 ],3.069880518656708,0.0005776020151255,"(10, 1)",306369.6915054321,306347.2649990022,1538723.9739837646,1538717.9487179443,3.180799961090088,0.1109194424333801,27627042444.72388,35842981.583032854,37381699.5317508,35536634.31803385,27627348814.415382,27628887538.389366,0.1892760583532757,29.023829460144043
3.9055016872736616,11,1,27912706619.481388,52549025.57129266,52854439.99550771,27913012060.915268,54393157.94422566,27914550783.63583,-83.91380310058594,-83.87239837646484,-3.274499893188477,3.347100019454956,[-2.41232976e-04 -1.48699626e+00  6.93160808e-01],[-9.40617518e-03  5.87631105e-04  9.85096048e-01  1.71745942e-01],3.770475261687621,0.1350264255860405,"(11, 1)",305441.86323165894,305413.9905098155,1538722.721977234,1538717.9487179518,4.0346999168396,0.2642246551519784,27912706619.40336,52854439.91636618,54393157.86508413,52549025.92585637,27913012061.26659,27914550783.988567,0.1993347437849499,30.30050802230835
4.600788143313845,10,1,30117568141.920475,39044400.347243965,39348999.29037951,30117872772.815014,40887717.23909745,30119411497.07341,-89.38970184326172,-89.91010284423828,-4.190000057220459,3.86680006980896,[-0.92656241 -1.59994055  0.66064716],[0.03251379 0.02588905 0.9642927  0.26155657],4.571460018238295,0.0293281250755503,"(10, 1)",304631.11290740967,304598.7016726807,1538724.255683899,1538717.9487179443,4.669700145721436,0.0982401274831419,30117568141.839203,39348999.21123798,40887717.159955926,39044400.5095653,30117872772.95211,30119411497.207794,0.1837524925121065,31.638113260269165
4.924123320347801,11,1,30459416964.032608,45027262.59248469,45331771.72627694,30459721507.020363,46870489.67499489,30461260229.99133,-92.70359802246094,-94.05359649658205,-3.139400005340576,3.107800006866455,[-1.04907641 -1.57078255  0.64175601],[ 0.00620843 -0.00490963  0.91436248  0.40481882],4.822797504627292,0.101325815720509,"(11, 1)",304543.0344810486,304509.0425931439,1538722.9723815918,1538717.9487179518,4.944699764251709,0.1219022596244165,30459416963.95458,45331771.64713541,46870489.595853366,45027262.60454227,30459721506.98906,30461260229.96144,0.1847988215599792,32.91833710670471
4.479015829725208,10,1,32494262420.76657,63154017.12385483,63462564.99550771,32494570999.81517,65001282.94422566,32496109724.18312,-85.82820129394531,-85.53230285644531,-4.531799793243408,4.11269998550415,[-0.99646948 -1.56135699  0.63452776],[0.0054183  0.00857694 0.84198149 0.53941062],4.515271504711037,-0.0362556749858287,"(10, 1)",308579.49281311035,308547.4415314496,1538724.365234375,1538717.9487179518,4.610099792480469,0.0948282877694319,32494262420.685303,63462564.91636618,65001282.86508413,63154017.47483473,32494571000.17812,32496109724.54335,0.1963347614535648,34.08072233200073
5.266749302108855,11,1,32934347484.865883,32942299.96996553,33249399.93140515,32934654620.963688,34788117.8801231,32936193343.87205,-91.25170135498048,-91.20149993896484,-3.5576000213623047,2.847899913787842,[-1.02822929 -1.55187909  0.64765791],[0.00545139 0.0152314  0.76804814 0.64018708],4.889962031820732,0.3767872702881236,"(11, 1)",307136.2461204529,307099.8128255196,1538722.9097824097,1538717.9487179518,5.311200141906738,0.4212381100860067,32934347484.787853,33249399.852263626,34788117.800981574,32942300.039438102,32934654621.033974,32936193343.94376,0.1834927524730061,35.39275789260864
4.457553738455056,10,1,35068959175.57421,16399360.482586456,16706731.66217438,35069266577.81387,18245449.61089233,35070805302.338326,-87.114501953125,-85.36509704589844,-4.500100135803223,3.822099924087525,[-1.05721793 -1.53453966  0.6509826 ],[0.01883828 0.01862701 0.67539198 0.73698287],4.513556258292538,-0.0560025198374818,"(10, 1)",307402.6880493164,307370.8089192696,1538724.521736145,1538717.94871795,4.5802998542785645,0.0667435959860265,35068959175.492935,16706731.583032852,18245449.5317508,16399360.774113582,35069266578.180984,35070805302.70272,0.1940073673382886,36.71824240684509
5.2358141475528726,11,1,35540055890.314545,17201441.724530965,17506923.96986669,35540361408.52809,19045641.91858464,35541900131.65556,-84.1843032836914,-84.3458023071289,-3.774600028991699,3.5855000019073486,[-0.52682031 -1.54739846  1.21181083],[0.02033359 0.0248857  0.51769616 0.85496073],4.392534634421845,0.8432795131310273,"(11, 1)",305518.65798187256,305481.8021334149,1538723.1288833618,1538717.948717948,5.36870002746582,0.9761653930439752,35540055890.23651,17506923.890725162,19045641.83944311,17201442.088591747,35540361408.89449,35541900132.02338,0.200329648911641,38.06474041938782
3.315281472267158,10,1,37490454335.83057,18092474.276312128,18398478.457046174,37490760363.49885,19937196.405764125,37492299088.305,-96.5155029296875,-94.65570068359376,-4.632299900054932,4.069799900054932,[ 0.24715305 -1.5696622   1.35016109],[0.01579206 0.0163664  0.30595705 0.95177236],3.3461047859702537,-0.0308233137030957,"(10, 1)",306027.70683288574,306004.1848207116,1538724.8034362793,1538717.9487179518,3.320499897003174,-0.0256048889670799,37490454335.74929,18398478.37790465,19937196.3266226,18092474.19308393,37490760363.45612,37492299088.25956,0.1865342359867572,39.27876234054565
2.5662582867076544,10,1,39911949592.24077,19785568.41567821,20091162.75191797,39912255205.064285,21629880.70063592,39913793929.87044,-86.1624984741211,-85.70960235595703,-4.138700008392334,3.95989990234375,[ 1.26199029 -1.20651074  1.10317123],[ 0.0112802  -0.01805938 -0.09333583  0.99540666],2.5336988390503965,0.0325594476572579,"(10, 1)",305613.26246643066,305593.919020433,1538724.8034362793,1538717.948717948,2.6946001052856445,0.160901266235248,39911949592.15949,20091162.67277644,21629880.62149439,19785568.75375601,39912255205.42196,39913793930.2254,0.1951034239427785,41.83263945579529
